name,path,type,size,parent
file_1_8.json,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\file_1_8.json,file,279,sem8_ser
file_1_8.pickle,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\file_1_8.pickle,file,382,sem8_ser
new_c.csv,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\new_c.csv,file,79,sem8_ser
new_json.json,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\new_json.json,file,249,sem8_ser
new_json.pickle,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\new_json.pickle,file,245,sem8_ser
task01.py,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task01.py,file,971,sem8_ser
task02.py,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task02.py,file,1494,sem8_ser
task03.py,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task03.py,file,644,sem8_ser
task04.py,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task04.py,file,1179,sem8_ser
task05.py,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task05.py,file,1018,sem8_ser
task06.py,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task06.py,file,824,sem8_ser
task07.py,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task07.py,file,595,sem8_ser
task8_2.csv,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task8_2.csv,file,79,sem8_ser
task8_2.json,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task8_2.json,file,271,sem8_ser
task8_2.pickle,C:\Users\keoka\Desktop\яна учеба\Python\Python\sem8_ser\task8_2.pickle,file,182,sem8_ser
